city_no,city,country_no,country
1,Qal eh-ye Now,1,Afghanistan
2,Chaghcharan,1,Afghanistan
3,Lashkar Gah,1,Afghanistan
4,Zaranj,1,Afghanistan
5,Tarin Kowt,1,Afghanistan
6,Zareh Sharan,1,Afghanistan
7,Asadabad,1,Afghanistan
8,Taloqan,1,Afghanistan
9,Mahmud-E Eraqi,1,Afghanistan
10,Mehtar Lam,1,Afghanistan
11,Baraki Barak,1,Afghanistan
12,Aybak,1,Afghanistan
13,Mayda Shahr,1,Afghanistan
14,Karokh,1,Afghanistan
15,Sheberghan,1,Afghanistan
16,Pol-e Khomri,1,Afghanistan
17,Balkh,1,Afghanistan
18,Meymaneh,1,Afghanistan
19,Andkhvoy,1,Afghanistan
20,Qalat,1,Afghanistan
21,Ghazni,1,Afghanistan
22,Feyzabad,1,Afghanistan
23,Kondoz,1,Afghanistan
24,Jalalabad,1,Afghanistan
25,Charikar,1,Afghanistan
26,Gardiz,1,Afghanistan
27,Bamian,1,Afghanistan
28,Baghlan,1,Afghanistan
29,Farah,1,Afghanistan
30,Herat,1,Afghanistan
31,Mazar-e Sharif,1,Afghanistan
32,Kandahar,1,Afghanistan
33,Kabul,1,Afghanistan
34,Mariehamn,2,Aland
35,Kruje,3,Albania
36,Fier,3,Albania
37,Lushnje,3,Albania
38,Puke,3,Albania
39,Bajram Curri,3,Albania
40,Kukes,3,Albania
41,Sarande,3,Albania
42,Erseke,3,Albania
43,Pogradec,3,Albania
44,Korce,3,Albania
45,Berat,3,Albania
46,Corovode,3,Albania
47,Gramsh,3,Albania
48,Librazhd,3,Albania
49,Tepelene,3,Albania
50,Permet,3,Albania
51,Gjirokaster,3,Albania
52,Peshkopi,3,Albania
53,Burrel,3,Albania
54,Lezhe,3,Albania
55,Rreshen,3,Albania
56,Vlore,3,Albania
57,Elbasan,3,Albania
58,Durres,3,Albania
59,Shkoder,3,Albania
60,Tirana,3,Albania
61,Jijel,4,Algeria
62,Tizi-Ouzou,4,Algeria
63,Bordj Bou Arreridj,4,Algeria
64,M'sila,4,Algeria
65,Guelma,4,Algeria
66,Oum el Bouaghi,4,Algeria
67,Timimoun,4,Algeria
68,Sidi bel Abbes,4,Algeria
69,Tlimcen,4,Algeria
70,Beni Ounif,4,Algeria
71,Abadla,4,Algeria
72,Sefra,4,Algeria
73,Skikda,4,Algeria
74,Djanet,4,Algeria
75,I-n-Amenas,4,Algeria
76,In Amguel,4,Algeria
77,El Bayadh,4,Algeria
78,El Oued,4,Algeria
79,Hassi Messaoud,4,Algeria
80,Chlef,4,Algeria
81,Mascara,4,Algeria
82,Mostaganem,4,Algeria
83,Saida,4,Algeria
84,Tiarat,4,Algeria
85,Bejaia,4,Algeria
86,Blida,4,Algeria
87,Bouira,4,Algeria
88,Medea,4,Algeria
89,Souk Ahras,4,Algeria
90,Tebessa,4,Algeria
91,Adrar,4,Algeria
92,Reggane,4,Algeria
93,Bechar,4,Algeria
94,Tindouf,4,Algeria
95,Illizi,4,Algeria
96,Arak,4,Algeria
97,I-n-Salah,4,Algeria
98,El Golea,4,Algeria
99,Laghouat,4,Algeria
100,Touggourt,4,Algeria
101,Ouargla,4,Algeria
102,Biskra,4,Algeria
103,Djelfa,4,Algeria
104,Setif,4,Algeria
105,Batna,4,Algeria
106,Annaba,4,Algeria
107,Constantine,4,Algeria
108,Oran,4,Algeria
109,Tamanrasset,4,Algeria
110,Ghardaia,4,Algeria
111,Algiers,4,Algeria
112,Pago Pago,5,American Samoa
113,Andorra,6,Andorra
114,Mucusso,7,Angola
115,Lucapa,7,Angola
116,Capenda-Camulemba,7,Angola
117,Saurimo,7,Angola
118,Muconda,7,Angola
119,Cacolo,7,Angola
120,Caxito,7,Angola
121,Camabatela,7,Angola
122,Ndalatando,7,Angola
123,Quibala,7,Angola
124,Calulo,7,Angola
125,Waku Kungo,7,Angola
126,Songo,7,Angola
127,Mbanza-Congo,7,Angola
128,Nzeto,7,Angola
129,Soyo,7,Angola
130,Cabinda,7,Angola
131,Calucinga,7,Angola
132,Camacupa,7,Angola
133,Cubal,7,Angola
134,Mavinga,7,Angola
135,Cuito Caunavale,7,Angola
136,Luiana,7,Angola
137,Ondjiva,7,Angola
138,Chitado,7,Angola
139,Chibemba,7,Angola
140,Chibia,7,Angola
141,Quipungo,7,Angola
142,Luau,7,Angola
143,Cangamba,7,Angola
